NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
21 ,15,1,   7.0%,  1.67%
21 ,15,2,  93.0%,  1.67%
21 ,16,1,  72.5%,  5.42%
21 ,16,2,  14.4%,  3.35%
21 ,16,3,   8.7%,  2.48%
21 ,16,4,   2.3%,  1.31%
21 ,16,5,   2.6%,  1.38%
21 ,16,6,   3.5%,  1.31%
21 ,16,9,   6.1%,  1.94%
21 ,16,10,   9.6%,  2.38%
21 ,16,11,  10.0%,  2.69%
21 ,16,12,   3.9%,  1.44%
21 ,16,13,   3.3%,  1.98%
21 ,16,14,  24.2%,  3.82%
21 ,17,1,  72.5%,  4.89%
21 ,17,2,   9.5%,  2.52%
21 ,17,3,   4.3%,  1.79%
21 ,17,5,   3.0%,  1.60%
21 ,17,6,   2.6%,  1.11%
21 ,17,9,  26.3%,  5.08%
21 ,18,1,   7.0%,  2.10%
21 ,18,2,  16.8%,  3.32%
21 ,18,3,  76.2%,  4.50%
21 ,19,1,  31.1%,  1.61%
21 ,19,2,   6.6%,  1.50%
21 ,19,3,   4.9%,  1.58%
21 ,19,4,  19.0%,  3.39%
21 ,19,5,   5.2%,  2.21%
21 ,19,6,  19.4%,  2.60%
21 ,19,7,   7.0%,  1.02%
21 ,19,8,  45.7%,  3.07%
21 ,20,2,   2.2%,  1.73%
21 ,20,3,   7.1%,  1.22%
21 ,20,4,  52.3%,  4.56%
21 ,20,5,  12.2%,  2.62%
21 ,20,6,   2.4%,  1.08%
21 ,20,7,  15.0%,  2.53%
21 ,20,8,   8.8%,  2.36%
22 ,2,1,   4.9%,  2.45%
22 ,2,2,  27.4%,  8.66%
22 ,2,3,  64.5%,  6.33%
22 ,3,4,  10.1%,  3.66%
22 ,3,5,  20.5%,  2.80%
22 ,3,6,  13.6%,  4.17%
22 ,3,7,   9.7%,  3.86%
22 ,3,8,   6.9%,  3.04%
22 ,3,9,  16.3%,  2.85%
22 ,3,10,  14.4%,  3.63%
22 ,4,2,   7.8%,  2.71%
22 ,4,3,  92.2%,  2.71%
22 ,5,4,  97.8%,  1.58%
22 ,6,3,  98.4%,  1.60%
22 ,7,2,  12.3%,  3.62%
22 ,7,3,  87.7%,  3.62%
22 ,8,3,  98.7%,  1.25%
22 ,9,3,  42.6%,  6.80%
22 ,9,4,  57.4%,  6.80%
22 ,10,1,  19.3%,  4.84%
22 ,10,3,   6.3%,  2.87%
22 ,10,6,   9.7%,  4.04%
22 ,10,7,  80.7%,  4.84%
22 ,11,2,   4.1%,  2.04%
22 ,11,4,   4.5%,  2.15%
22 ,11,5,   3.1%,  2.18%
22 ,11,6,   4.4%,  2.02%
22 ,11,7,   6.0%,  4.23%
22 ,11,8,  86.1%,  3.83%
22 ,12,3,  81.6%,  6.32%
22 ,12,4,  13.3%,  5.53%
22 ,13,3,  14.8%,  4.45%
22 ,13,4,  18.4%,  5.19%
22 ,13,5,  40.7%,  4.36%
22 ,13,7,  21.5%,  3.05%
22 ,14,2,  98.6%,  1.36%
22 ,15,2,  98.4%,  1.58%
22 ,16,1,  31.8%,  4.75%
22 ,16,2,   4.9%,  2.21%
22 ,16,6,   2.8%,  1.56%
22 ,16,14,  63.4%,  5.15%
22 ,17,1,  31.8%,  4.75%
22 ,17,2,   4.9%,  2.21%
22 ,17,6,   2.8%,  1.56%
22 ,17,9,  64.8%,  4.91%
22 ,18,1,  14.2%,  4.19%
22 ,18,2,  22.7%,  4.07%
22 ,18,3,  63.1%,  5.40%
22 ,19,1,   5.5%,  3.66%
22 ,19,2,   7.0%,  2.69%
22 ,19,3,   4.4%,  2.16%
22 ,19,4,   6.0%,  2.06%
22 ,19,5,   7.1%,  2.92%
22 ,19,6,   9.0%,  2.53%
22 ,19,8,  76.3%,  7.11%
22 ,20,3,  14.0%,  8.13%
22 ,20,4,   7.3%,  2.15%
22 ,20,7,  58.5%,  7.51%
22 ,20,8,  17.6%,  4.64%
23 ,2,1,  15.5%,  0.55%
